epoch	loss	acc	lr
1	0.29512494833747976	0.8898184912081679	0.01
2	0.15071012800896433	0.9425340328984685	0.01
3	0.10010693739979225	0.963538712422008	0.01
4	0.06550123527914421	0.9767264605785593	0.01
5	0.04334600088891789	0.9848269994327851	0.01
6	0.036264011538648264	0.9873617413499717	0.01
7	0.025182722915694015	0.9914031480431084	0.01
8	0.021856775742274577	0.9926262053318208	0.01
9	0.018534169700626	0.9937074588769144	0.01
10	0.013920991663456278	0.9952850255246739	0.01
